BMQDV;yCeTE 2;biGQs 4
Albert Hannjoto;Salah satu dari 7 keajaiban dunia. Arsitektur candinya sangat keren. Lingkungan sekitar candi cukup bersih;Ditulis pada 30 Januari 2020
cakra;Terakhir pergi tahun 1972 masih panas banget tapi sekarang sudah banyak pohon nya walaupun di atas masih tetap panas;Ditulis pada 26 Januari 2020
agus muslim;Saya sudah beberapa kali mnegunjungi Borobudur. Saya membeli tiket dari sebuah penyedia layanan tiket sehingga tidak mengantri dengan pembeli tiket on the spot. Untuk menukarkan tiket, kami dipersilahkan menujutemtempat  ticketing yang sama untuk wisatawan asing. Ketika menunggu, saya ingin buang air kecil dan segera ke toilet di ruang tiketing itu. Namun saya dicegah oleh sekuriti yang mengatakan bahwa toilet hanya diperuntukkan bagi wisatawan asing dan meminta saya untuk menggunakan toilet di luar. Sebelumnya istri saya sudah duluan ke toilet dan berhasil lolos. Saya malas berdebat dan menahan keinginan untuk buang air kecil. Saran saya kalau tidak boleh menggunakan fasilitas yang sama, penukaran tiket dari ticket booking online itu dipisah saja dari ticketing turis asing. yang sedikit beda adalah tambahan layanan transpot dengan berbagai pilihan, ada kereta yang cukup murah, golf car yang cocok untuk keluarga, dan juga andong.Perbedaan lainnya adalah jalur naik turun yang sudah diatur dengan baik plus ada petugas dengan toanya yang mengingatkan pengunjung untuk tidak naik atau merusak candi. kesadaran pengunjung juga sudah cukup bagus sehingga tidak ditemukan lagi sampah minuman di candi.Untuk balik lagi ke parkiran saya naik andong.;Ditulis pada 17 Januari 2020
Cornelius Caesar;Saya sudah lama tidak ke Candi Borobudur, dan saya berharap dapat berlibur ke Candi Borobudur dengan menyenangkan kali ini. Ketika saya masuk ke pintu gerbang sudah nampak banyak kerumunan orang. Jika musim liburan Candi Borobudur akan luar biasa banyak pengunjungnya, ini yg membuat kenyamanan sedikit berkurang.Pembelian tiket secara langsung cukup panjang antriannya, namun untuk pembelian secara online cukup sepi, sehingga ada baiknya kita beli tiketnya secara online jika tidak ingin mengantri. Toilet cukup banyak dan bersih. Tersedia juga pintu masuk dan jalur khusus untuk difabel. Untuk yg normal, pintu pemeriksaan tiket cukup banyak, sehingga tidak terlalu antri. Di area dalam saya pikir sebaiknya ditambah lagi tempat duduk dan area berteduh, karena cukup panas sinar matahari jika sudah siang hari. Bus keliling tayo dan kereta mini cukup membantu supaya tidak banyak berjalan.Untuk pengelola, ayo tingkatkan lagi fasilitasnya agar tempat wisata ini tetap menjadi destinasi pariwisata yg utama di Jawa Tengah.;Ditulis pada 11 Januari 2020
murtiono2005;Amazing hige place sekaeang jadi lebih bersih dan teratur karena dikelola dengan cukup baik. Handicraft juga quite cheap;Ditulis pada 7 Januari 2020
Araf duta 77;Bagunan cagar budaya yg fenomenal dan megah di dunia dan sangat di banggakan indonesia. Bila memakai map dr arah manapun borobudur mudah di jangkau.;Ditulis pada 6 Januari 2020
;;
Astrid L;Saya sudah sangat lama tidak ke candi borobudur. Sekarang apik dan lebih terawat serta dilengkapi fasilitas andong, mobil dan ada binatang kuda dan gajah. Kali ini saya pergi bersama kakak saya dan ponakan saya. Tujuannya untuk mengedukasi keponakan saya agar lebih mengenal sejarah Indonesia khususnya Candi Borobudur.Ramai sekali pas kunjungan kami desember kemarin. Cuaca pun sangat panas terik. Tetapi kami semua cukup senang dan bangga Indonesia punya kekayaan budaya yang terkenal di dunia seperti Candi Borobudur ini.;Ditulis pada 3 Januari 2020
Indriya AG;Destinasi icon Jawa Tengah yang wajib di singgahi saat akan berlibur ke arah Jogjakarta.Wisata sejarah peradaban jawa kuno yang tergambar pada candi borobudur bisa menambah wawasan budaya nusantara.;Ditulis pada 1 Januari 2020
mamaniaa;masih terpukau dengan mahakarya ini, bagaimana cara bikin candi semegah itu. kesana pas weekend, jadi rame, mau foto agak susah, banyak bocornya. karena berada di ketinggian, jadi pemandangan sekitar tampak asri, tapi ya jalan menuju candinya mayan jauh. untuk orang sepuh, mending nunggu di taman saja.;Ditulis pada 31 Desember 2019
RAHMANDHANI UTARI;Candi borobudur indah banget,candinya besar,cukup jauh menuju candinya dari tempat parkir kendaraan,disarankan untuk membaya payung jika ta ingin kepanasan,nyampe atas ngga bakal kecewa kok,terbayar sudah bagusnya candi kyk apa..;Ditulis pada 31 Desember 2019
met;Harus bawa topi dari rumah karena panas banget. Kalau musim hujan jangan lupa bawa payung. Tapi disana banyak yg jual topi, sunglass dan sewa payung. Banyak juga yang jual minum karena cukup lelah saat menanjak.Candi terawat dengan baik, sangat disayangkan banyak bagian rupang yang hilang..;Ditulis pada 25 Desember 2019
Rendy DY;Borobudur berjarak lk.30 km dari jl. Malioboro yogyakarta merupakan objek wisata yg terkenal dan telah mendunia, kebanyakan para pengunjung akan mengabil waktu pada saat sunrise ( matahari terbit ),klo ngga salah candi borobudur waktu operasional di sini mulai pkl. 06.00 wib s/d 18.00 wib. Perubahan serta perbaikan peraturan di area komplek candi oleh management / pengelola membuat candi ini semakin bagus, bersih, dan tertata rapi. salah satu perubahan yg berarti adalah LARANGAN MEROKOK di area candi, membuat hawa semakin segar bebas asap rokok. Yg harus dibawa :1. Kacamata hitam2. Sunblock3. Topi4. Air minumJika waktu memungkinkan Disarankan untuk membeli tiket terusan ( borobudur dan prambanan), untuk wisatawan yg menggunakan sepeda motor bisa di parkir sebelum masuk area candi borobudur dengan harga tiket parkir 5k.;Ditulis pada 25 Desember 2019
Hwe L;berkunjung ke Candi Borobudur mengingatkan saya akan sejarah jaman dahulu, saya bangga sebagai org Indonesia memiliki salah satu keajaiban dunia seperti candi borobudur ini, di sini kita bisa foto2 melihat detail candi, pemandangan dari atas sangat indah, tapi kita harus melalui tangga yng lumayan tinggikaluar dari candi anda akan melewati kios2 yang menjual aneka oleh2 dan pernak pernik buatan lokal Jogja, tapi dengan kualitas yang juga baik;Ditulis pada 23 Desember 2019
Eny marita;Candi borobudur terletak di Magelang Jawa Tengah adalah candi terbesar di dunia...  Kalo mau datang ke sini jangan lupa bawa payung,  kacamata hitam atau topi karena cuaca sangat panas. Banyak sovenir cantik yang dijual di sini.  Tempatnya bagus untuk foto selfie...;Ditulis pada 24 November 2019
Tiwi Alexa;Peninggalan sejarah berupa candi,candi borobudur besar sekali candinya, naik tangga ke atas,lumayan jauh dan tangganya kecil,kalau siang lumayan panas..;Ditulis pada 12 November 2019
Fanitlapiu;Akhirnya aku kesini, BOROBUDUR!Aku dan kakak datang pada hari minggu (Weekend), dan kita membayar Rp.50.000/orang.Awal masuk banyak sekali penjual menawarkan barangnya. Kacamata, baju, stick selfie dll. Ada makanan juga.Kelihatannya akan lelah naik keatas BOROBUDUR. Awalnya aku merasa kurang aman karena tangganya sangat tinggi sampai lelah untuk melanjutkan.Bangunan yang artistik, autentik.Jogja istimewah.Cagar alam benar di pelihara.Hope i would spent more time with my parents and future husband ??How they could take a pic of me ??;Ditulis pada 10 November 2019
;;
Astrid L;Saya sudah sangat lama tidak ke candi borobudur. Sekarang apik dan lebih terawat serta dilengkapi fasilitas andong, mobil dan ada binatang kuda dan gajah. Kali ini saya pergi bersama kakak saya dan ponakan saya. Tujuannya untuk mengedukasi keponakan saya agar lebih mengenal sejarah Indonesia khususnya Candi Borobudur.Ramai sekali pas kunjungan kami desember kemarin. Cuaca pun sangat panas terik. Tetapi kami semua cukup senang dan bangga Indonesia punya kekayaan budaya yang terkenal di dunia seperti Candi Borobudur ini.;Ditulis pada 3 Januari 2020
Indriya AG;Destinasi icon Jawa Tengah yang wajib di singgahi saat akan berlibur ke arah Jogjakarta.Wisata sejarah peradaban jawa kuno yang tergambar pada candi borobudur bisa menambah wawasan budaya nusantara.;Ditulis pada 1 Januari 2020
Hwe L;berkunjung ke Candi Borobudur mengingatkan saya akan sejarah jaman dahulu, saya bangga sebagai org Indonesia memiliki salah satu keajaiban dunia seperti candi borobudur ini, di sini kita bisa foto2 melihat detail candi, pemandangan dari atas sangat indah, tapi kita harus melalui tangga yng lumayan tinggikaluar dari candi anda akan melewati kios2 yang menjual aneka oleh2 dan pernak pernik buatan lokal Jogja, tapi dengan kualitas yang juga baik;Ditulis pada 23 Desember 2019
ade;Ga ada bosen kalau kesini walau cukup jauh, tinggi serta lumayan panas tapi cukup puas sih, walaupun banyak pedagang yg menawarkan barang dagangannya tapi tetep keren;Ditulis pada 26 Juli 2019
Oriviero;Begitu tiba di parkir mobil, langsung disamperin penjual topi. Saat kita memilih topi, penjual lain yang merasa itu sebuah peluang, langsung menyerbu kami.Ada yang bermanfaat, ada juga yang tidak.Paling terganggu saat mereka menawarkan dengan nada melas dan bilang bahwa seharian dagangan belum laku.Jadi seperti pengemis.;Ditulis pada 25 Juli 2019
Mariam;Harga tiket masuk agak mahal kerana dia orang guna dollar. Para penjual pon menjual barang2 disana dengan harga yang mahal. So, better x perlu shopping disana.;Ditulis pada 24 Juli 2019
Cristin;Saya selalu kagum dengan hal masa lampau, candi ini besar. banyak pengunjung disini datang untuk melihat dan berfoto di candi ini;Ditulis pada 24 Juli 2019
yayan79;tak ada bosennya wisata kesini . dari jaman sd sampe sekarang . perubahannya bagus . toilet umum suda banyak dan persewaan payung juga tersedia . harga tiket lokal hanya 40.000 . dan banyak foodcourt juga yang bisa ditemui didala area candi .;Ditulis pada 23 Juli 2019
Susy V;Kami sampai di Borobudur sekitar jam 4 sore. Info dr petugas penjualan tiket dibuka sampai jam 17.15 dan candi ditutup jam 18.00. Setelah membeli tiket kami langsung masuk menuju Candi. Karena sudah sore, cuaca tidak terlalu panas. Menaiki tangga2 menuju ke bagian paling atas candi ternyata cukup melelahkan. Ukuran tangga bervariasi, ada yg tinggi dan ada yg pendek, membuat ngos2an sampai atas. Setelah puas berkeliling dan berfoto, kami memutuskan untuk turun dan keluar. Jalannya lumayan jauh untuk menuju ke tempat parkir. Di sepanjang jalan banyak pedagang yg menawarkan souvenir mulai dr baju, lukisan, asbak, kalung, gelang, gantingan kunci, dll.;Ditulis pada 15 Juli 2019
Wirya Atmaja;di umur 30th, pertamakalinya mengunjungi Candi Borobudur.Sunrice borobudur membuat saya jatuh cinta, berharap dilain waktu bisa datang kembali.Jangan hawatir, masalah kuliner sekitar Candi Pas untuk Lokal dan Mancanegara.;Ditulis pada 12 Juli 2019
Campanella;Lingkungan di dalam candi benar2 bersih dan petugas juga sangat cekatan. Hanya masyarakat yang naik ke candi banyak sekali yang nakal dan duduk diatas candi, padahal sudah jelas ada larangan duduk.;Ditulis pada 11 Juli 2019
Herbert M;Tidak jauh dr kota magelang, sudah buka jam 6 pagi, kalau pagi pagi masih sejuk untuk melihat ke asrian dan indahnya pemandangan dan warisan budaya candi ini.;Ditulis pada 2 Juli 2019
Ronald S;Belajar sejarah dengan mengunjungi langsung candi borobudurTips: alternatif menikmati sunrise borobudur bisa ke punthuk setumbu;Ditulis pada 2 Juli 2019
;;
Deka;Jlan jalan ke borobudur bersama keluarga pemandangan nya indah, serasa kembali pada masalalu. Dengan pendamping wisata lebih baik karna mereka akan menceritakan kisah di balik relief dinding borobudur!;Ditulis pada 29 Juni 2019
Siska Lie;Candi borobudur merupakan salah satu keajaiban dunia dan menjadi salah satu daya tarik wisatawan sendiri. Untuk yg punya anak²,bolehlah memperkenalkan sejarah ini. Akses kesini pun mudah,banyak plang petunjuk arahnya. Untuk masuk ke sini saja mungkin yg agak mahal,sekarang sudah Rp.40rb untuk 10th keatas,dan Rp.20rb untuk sepuluh tahun ke bawah (agak berat juga sebenarnya untuk anak 5th ke bawah yg belum tahu apa² dibebankan biaya masuk),sedangkan fasilitas di dalam area pun,tidak ada yg ramah untuk anak². Semoga pihak pengelola lebih meninjau lagi untuk ke depannya, karena anak² bisa apa sih disana,sedangkan seharusnya yg menawari foto,payung atau minuman di dalam area candi dan banyak membuat tidak nyaman pengunjung seharusnya yg dipungut biaya. Mohon pihak pengelola memperhatikan, terima kasih.;Ditulis pada 25 Juni 2019
Ellen;Borobudur wajib dikunjungi bukan hanya karena fakta sejarah bagaimana pekerjaan tangan manusia bisa menghasilkan candi yang luar biasa indah dengan relief relief yang sangat detail Di setiap susunan batu yang sarat dengan kisah. Pengelolaan nya juga sangat bagus,  lingkungan yang bersih dan asri hampir tidak ada sampah dan asap rokok bahkan atraksi lain yang sangat menarik dengan harga terjangkau.;Ditulis pada 18 Juni 2019
Hendrik Tandian;Memang sangat cocok disebut keajaiban dunia. Pemandangan di atas candi sangat menakjubkan. Candi ini sangat megah dikelilingi stupa-stupa dengan pahatan yang sangat indah.;Ditulis pada 18 Juni 2019
IrvingAH;Jangan lupa untuk meminta guide yang akan memberikan lebih banyak cerita mengenai Borobudur. Dan siap-siap untuk naik-turun tangga. Sunrise sangat cocok. Siap-siap utk mengambil foto yang instagramable.;Ditulis pada 17 Juni 2019
Aurani;Candi Borobudur memang menyuguhkan pemandangan yang luar biasa. Tak heran jika tempat ini ramai sekali dikunjungi wisatawan.;Ditulis pada 9 Juni 2019
kulinersby;Luar biasa melihat kemegahan candi Budha iniWalau panas menyengat tidak menyurutkan keinginan untuk berlama-lama berada disanaBest view;Ditulis pada 1 Juni 2019
Eka Widya Ristanti;Setahun sekali ada perayaan waisak di candi borobudur, malam hari menerbangkan lampion. Patut dicoba;Ditulis pada 22 Mei 2019
fitrianabwi;Buat yang suka sejarah, tempat ini cocok banget buat nambah ilmu pengetahuan. Ukirannya keren. pemandangannya keren. udah bisa bayangin, gimana cantiknya sunrise dengan view gunung dan perbukitan.  Banyak yang menyewakan payung karena cuaca sangat panas. Dijalan menuju pintu keluar, wisatawan dilewatkan pasar yang menjual oleh-oleh mulai dari kaos hingga pernak-pernik rumah. terakhir kali kesana dikenai tiket 35k untuk wisatawan domestik.;Ditulis pada 2 Mei 2019
agustinaelish;ini pengalaman pertama saya berkunjung ke candi Borobudur. saya ke sana bersama dengan suami dan teman teman kantor saya. cuaca lumayan panas waktu itu, namun tidak menyurutkan antusiasme saya. dengan berbekal payung dan air mineral kami berjalan menuju candi dari area parkir. lumayan jauh sih, tapi tidak terlalu terasa karena sepanjang berjalan kaki saya melihat taman yang bersih, di beberapa sudut ada pertunjukan tari atau mungkin sekelompok anak yang sedan berlatih menari. tak lupa, kami sesekali berhenti untuk mengabadikan momen di sudut sudut yang indah viewnya.;Ditulis pada 1 Mei 2019
;;
Royhumardhani;Wisata historis yang luar biasa, pemandangan dan candi yang indah, masuk nya kalau untuk di candi Borobudur saja Rp 40.000, tapi kalau mau tiket terusan dengan candi Prambanan Rp 75.000.Ada wisata untuk melihat sunrise, kalau ke Borobudur saya sarankan si ambil yang paket itu supaya bisa foto tanpa banyak gangguan dari orang lain, kalau jam biasa rame banget pengunjung nya;Ditulis pada 1 Mei 2019
yuvita;Jangan lupa membawa topi, sunblock atau payung karena panas sekali.. Ada perbedaan harga tiket masuk untuk turis lokal & internasional.. sebaiknya memakai pakaian yang sopan.. disebelah candi persis ada pasar, banhak menjual souvernir & baju yang cukup murah.. ingat selalu untuk menawar;Ditulis pada 27 April 2019
ina s;Jalan2  bersama Anak yg sudah remaja. Mengenakan candi borobudur kepada keponakan yg belum pernah ke candi ini.Pada saat tiba di candi borobudur kebetulan semua batre hp habis jadi kami tidak sempat berfoto karena candi Borobudur tempat terakhir yg kami kunjungi hari itu.;Ditulis pada 24 April 2019
Youngi;Pemandangan indah, tempatnya bagus, bersejarah, bisa belajar bahasa asing juga, banyak object kunjungan;Ditulis pada 20 April 2019
Cahya H;Borobudur, bangunan cagar budaya. Yg pernah masuk 7 keajaiban dunia..Akses Jalan utama dan alternatif bagus..Lebih enak berkunjung waktu pagi;Ditulis pada 10 April 2019
Andhika M;Setelah sekian tahunnya, kami berkunjung ke Candi Borobudur dan menyaksikan segala perubahan yang Menakjubkan.Sejak pintu masuk loket sudah sangat dikemas lebih rapi dan indah.Saat memasuki area juga beberapa pemandangan cukup segar dengan semakin banyaknya pohon yang rindang.Kawasan Candi yang lebih rapi dan tertata dengan peraturan yang harus kita patuhi demi kebersihan dan kelestarian area.Candi Borobudur tidak pernah berubah dengan segala pesona yang Menakjubkan dengan Stupa dan relief yang mengandung sejarah..;Ditulis pada 3 April 2019
miftakhusani;Saya pernah membaca salah satu majalah tentang tempat yang wajib dikunjungi dari seluruh penjuru dunia, dan hasilnya sangat membanggakan untuk saya sebagai warga INDONESIA, karena melihat matahari terbit di Candi Borobudur, adalah salah satu tempat yang wajib dikunjungi sebelum anda meninggal dunia. tempat ini begitu sangat mengesankan melihat matahari terbit di antara gunung merbabu dan gunung merapi. sangat di rekomendasikan jika anda traveling ke jawa tengah untuk mampir kesini. :);Ditulis pada 2 April 2019
Lisbet_310183;Perjalanan menuju ke Candi dari gerbang masuk sangat jauh. oleh karena itu, saya memutuskan untuk membeli 3 tiket kereta untuk saya dan keluarga sehingga kami bisa sampai di dekat pintu masuk area candi. Harga tiket kereta Rp.30.000/0rang dan masing-masing tiket mendapat aqua 300ml dengan logo candi borobudurnya. area sangat panas. harus berpakaian sopan jika mau masuk ke dalam Candi. Area CAndi cukup bersih.;Ditulis pada 30 Maret 2019
LitaVie;Main kesini karena ini salah satu warisan budaya indonesia,candi ini salahsatu yg terbesar diindonesia,,sy tinggal di yogya juga tapi jarak nya kalo kesini lumayan jauh sihh,,tapi sayang 2 masa orang diy gapernah ke candi nya ,,Pengalaman berharga bisa kesini dengan teman2 alumni;Ditulis pada 21 Maret 2019
Bernardus Ferry;Datang pas hujan, begitu masuk langsung sewa andhong buat mengantar ke gerbang candi. Begitu turun langsung sewa payung. Seru... Walau huja  tetap berkeringat sampai puncak stupa. Pulangnya nonton animasi Raka, petualangan samudera. Kereen...;Ditulis pada 20 Maret 2019
;;
lucilemania;Saya terakhir kali mengunjungi Borobudur pada saat saya SD. Baru sekarang mendapat kesempatan untuk mengunjungi Borobudur kembali. Kami mengunjungi Candi Borobudur pada siang-sore hari di bulan Desember. Pengunjung di Candi Borobodur cukup banyak dan padat. Banyak rombongan mahasiswa atau pelajar. Setelah membeli tiket yang cukup panjang antrinya, kami masuk ke area Candi. Untuk menuju ke Candi Borobodur, kita bisa memakai kereta, kereta kuda, mobil golf dimana kita harus membeli tiket kendaraannya di loket di dalam area Candi. Kami memilih menaiki kereta kuda dan ini merupakan pilihan yang tepat karena menikmati angin sepoi-sepoi sambil naik kereta kuda, Kusirnya pun sangat responsif. Beliau menyarankan tempat-tempat yang bagus untuk mengambil foto dengan latar belakang Candi Borobudur dan beliau yang mengambil fotonya. Jadi kami 2-3 kali berhenti dan mengambil foto sebelum akhirnya sampai di Candi. Untuk menaikin Candi, disarankan memakai sepatu yang nyaman karena tangganya cukup curam dan padat.;Ditulis pada 20 Maret 2019
Bima;di jawa tengah terdapat tempat wisata yang bagus untuk menjadi spot foto dengan alam sekitar yaitu candi borobudur yang banyak gambaran dan terdapat sejarah di candi tersebut;Ditulis pada 18 Maret 2019
Bayu - Borobudur Prambanan Tour;Menikmati perjalanan tur anda di Jogja dengan mengunjungi Candi Borobudur. Candi ini adalah candi yang terbesar di Indonesia. Banyak sekali wisatawan lokal maupun luar negeri yang datang kesini. Kamu bisa juga menikmati suasana candi pada waktu yang menurutmu baik seperti Sunrise atau Sunset. Datang ke Candi Borobudur bila kamu menginap dari Jogja, kamu tentunya membutuhkan transportasi. Kamu bisa menghubungi saya untuk transport ke Candi Borobudur.;Ditulis pada 8 Maret 2019
Hariyanto KTM;Menikmati karya nenek moyang kita, sambil berjalan jalan mengikui relief yang ada, tak ada salahnya kita mengucap syukur atas karya leluhur kita ini. Batu candi tersusun rapi, indah, cantik dan mengandung nasehat yang luhur..;Ditulis pada 5 Maret 2019
morristio9977;Dari sekolah dasar sampai sekarang dewasa. Kalau ke candi Borobudur selalu saja senang banget. Mulai dari pintu masuk sudah ada fasilitas toilet dan mushola,Sebelum kita berjalan ke candinya.Setelah berjalan kiri kanan tampak indah pepohonan dan bunga.Seolah tidak terasa panasnya terik matahari. Saking asyiknya menikmati pemandangan tau tau sudah sampai puncak. Seolah olah kota Magelang dan sekitarnya kelihatan semua dari atas candi.Setelah kita foto2 akhirnya memutuskan untuk menuju pintu keluar disitu ada mushola juga.Alhamdulillah ucapku.Sambil menuju pintu keluar terdapat pedangan yang banyak banget.Bisa memilih oleh2 yang cocok untuk keluarga.Dari dulu sampai sekarang candi Borobudur tetap indah....indah....dan indah....;Ditulis pada 4 Maret 2019
Robi Cahyadi;Sudah tidak diragukan lagi untuk bagunan candinya Sangat menarik penuh dengan unsur kebudayaan, keagamaan dan wisata sejarah,. Banyak juga terdapat tempat sovenir untuk dibawa sebagai oleh oleh;Ditulis pada 4 Maret 2019
Sigit Nugroho;Pertama kali ke candi borobudur rasanya merupakan sesuatu yang amazing terlebih lagi buat saya pribadi bisa melihat keindahan alam yang ada di sana apalagi view di borobudur sangat sejuk dan indah pemandangannya.;Ditulis pada 3 Maret 2019
Jogjaprivatedriver_taufik;Saya adalah sopir di yogyakarta ke borobudur dalam rangka mengantarkan tamu rombongan dari spanyol dan sekitarnya;Ditulis pada 1 Maret 2019
tofan;kawasan candi yang bagus, menarik, banyak wisatawan, sangat bersih kawasannya, sejuk udaranya, baguss;Ditulis pada 27 Februari 2019
dengerinemak;"Ini cerita tahun lalu di bulan april. Akhirnya sampek juga ke Jawa Tengah. Dan Borobudur adalah salah satu tujuan utama ku.  Sebenarnya temen ku udh pernah ke sana. Tapi dengan baik nya dia mau nemenin aku, boncengin aku naik motor pulang pergi Jogja-Magelang.Sungguh,  karna ini pertama kali buat ku. Cuma bisa ""wow"" besarnya. Agung nya.. Terimakasih Tuhan,  waktu, energi dan langkah yang kau restui";Ditulis pada 25 Februari 2019
;;
